province,date,industry,labour_val,employment_val,average_hourly_wage,employment_rate,min_wage,retail_sales,cpi,population
Alberta,2022/1/1,Accommodation and food services,,,,,15,,,
Alberta,2022/2/1,Accommodation and food services,,,,,15,,,
Alberta,2022/3/1,Accommodation and food services,,,,,15,,,
Alberta,2022/4/1,Accommodation and food services,,,,,15,,,
Alberta,2022/5/1,Accommodation and food services,,,,,15,,,
Alberta,2022/6/1,Accommodation and food services,,,,,15,,,
Alberta,2022/7/1,Accommodation and food services,,,,,15,,,
Alberta,2022/8/1,Accommodation and food services,,,,,15,,,
Alberta,2022/9/1,Accommodation and food services,,,,,15,,,
Alberta,2022/10/1,Accommodation and food services,,,,,15,,,
Alberta,2022/11/1,Accommodation and food services,,,,,15,,,
Alberta,2022/12/1,Accommodation and food services,,,,,15,,,
Alberta,2023/1/1,Accommodation and food services,124.6,107.8,19.1,0.8651685393258427,15,8882071,160.5,4596901
Alberta,2023/2/1,Accommodation and food services,126.6,107.5,18.37,0.84913112164297,15,8662936,160.1,4596901
Alberta,2023/3/1,Accommodation and food services,131.5,113.1,19.04,0.8600760456273764,15,8510247,161.7,4596901
Alberta,2023/4/1,Accommodation and food services,135.8,121.6,19.16,0.8954344624447717,15,8457389,163.7,4641615
Alberta,2023/5/1,Accommodation and food services,137.5,125.6,18.86,0.9134545454545454,15,8612681,164.1,4641615
Alberta,2023/6/1,Accommodation and food services,138.2,120.4,18.74,0.8712011577424025,15,8453128,164.4,4641615
Alberta,2023/7/1,Accommodation and food services,148.8,135.5,19.35,0.9106182795698924,15,8288179,166,4688576
Alberta,2023/8/1,Accommodation and food services,148.8,133.8,18.64,0.8991935483870968,15,8416788,166.8,4688576
Alberta,2023/9/1,Accommodation and food services,149,133.9,18.97,0.8986577181208054,15,8418645,166,4688576
Alberta,2023/10/1,Accommodation and food services,150.7,134,18.74,0.8891838088918381,15,8395532,165.2,4752173
Alberta,2023/11/1,Accommodation and food services,144.9,131.1,19.92,0.9047619047619048,15,8458007,165.6,4752173
Alberta,2023/12/1,Accommodation and food services,146,127,20.13,0.8698630136986302,15,8423493,165.6,4752173
Alberta,2024/1/1,Accommodation and food services,147.6,124.7,19.85,0.8448509485094852,15,8441899,165.9,4801806
Alberta,2024/2/1,Accommodation and food services,144.7,121.5,20.35,0.8396682791983414,15,8413303,166.8,4801806
Alberta,2024/3/1,Accommodation and food services,147.9,128.3,20.48,0.8674780256930359,15,8442887,167.3,4801806
Alberta,2024/4/1,Accommodation and food services,150,130.1,19.99,0.8673333333333333,15,8727736,168.6,4857695
Alberta,2024/5/1,Accommodation and food services,167.6,142.9,19.03,0.8526252983293556,15,8514238,169.1,4857695
Alberta,2024/6/1,Accommodation and food services,165.3,150,20.41,0.9074410163339384,15,8493713,169.4,4857695
Alberta,2024/7/1,Accommodation and food services,159.3,141.5,20.18,0.8882611424984306,15,8726323,170.4,4909030
Alberta,2024/8/1,Accommodation and food services,165.3,144.3,19.74,0.8729582577132486,15,8586684,170.2,4909030
Alberta,2024/9/1,Accommodation and food services,158.5,138.5,20.19,0.8738170347003155,15,8795820,169.2,4909030
Alberta,2024/10/1,Accommodation and food services,155.1,135.8,21.36,0.8755641521598969,15,8799934,170.1,4957075
Alberta,2024/11/1,Accommodation and food services,154.6,138,20.96,0.8926261319534282,15,8825587,170.2,4957075
Alberta,2024/12/1,Accommodation and food services,156.7,142.8,20.68,0.9112954690491386,15,8964586,169.7,4957075
Alberta,2025/1/1,Accommodation and food services,147.6,135.1,19.89,0.9153116531165312,15,9055175,170.1,4988181
Alberta,2025/2/1,Accommodation and food services,154.2,138.6,20.66,0.8988326848249028,15,8984268,171.4,4988181
Alberta,2025/3/1,Accommodation and food services,154.5,136.9,19.2,0.886084142394822,15,9041851,172,4988181
Alberta,2025/4/1,Accommodation and food services,157.4,140.1,19.05,0.8900889453621347,15,9002358,171.1,5010078
Alberta,2025/5/1,Accommodation and food services,158.8,141.7,19.17,0.8923173803526447,15,8935090,171.9,5010078
Alberta,2025/6/1,Accommodation and food services,163.6,149.3,19.86,0.9125916870415648,15,8982698,172.3,5010078
Alberta,2025/7/1,Accommodation and food services,168.1,152.4,19.82,0.9066032123735872,15,8975906,172.6,5029346
